20240124,3.429
20240129,3.429
20240130,3.429
20240131,3.429
20240202,3.429
20240203,3.429
20240209,3.399
20240210,3.479
20240212,3.539
20240216,3.539
20240217,3.539
20240220,3.539
20240229,3.439
20240301,3.439
20240302,3.439
20240303,3.439
20240304,3.439
20240305,3.419
20240320,3.349
20240328,3.279
20240329,3.279
20240330,3.279
20240409,3.259
20241118,2.739
20241119,2.739
20241121,2.739
20241124,2.739
20241125,2.739
20241126,2.739
20241127,2.739
20241128,2.739
20241129,2.739
20241130,2.739
20241201,2.739
20241202,2.739
20241203,2.779
20241204,2.779
20241205,2.779
20241206,2.779
20241207,2.779
20241208,2.779
20241209,2.779
20241210,2.779
20241211,2.779
20241212,2.799
20241213,2.849
20241214,2.849
20241215,2.849
20241216,2.849
20241217,2.849
20241218,2.849
20241219,2.849
20241220,2.849
20241221,2.849
20241222,2.849
20241223,2.929
20241224,2.929
20241225,2.929
20241226,2.929
20241227,2.929
20241228,2.929
20241229,2.929
20241230,2.929
20241231,2.949
20250101,2.999
20250102,2.999
20250103,3.049
20250104,3.099
20250105,3.099
20250106,3.099
20250107,3.099
20250108,3.099
20250109,3.149
20250110,3.149
20250111,3.199
20250112,3.199
20250113,3.249
20250114,3.299
20250115,3.299
20250116,3.349
20250117,3.399
20250118,3.469
20250119,3.469
20250120,3.469
20250121,3.529
20250122,3.529
20250123,3.529
20250124,3.529
20250125,3.499
20250126,3.499
20250127,3.499
20250128,3.499
20250129,3.499
20250130,3.499
20250131,3.499
20250201,3.499
20250202,3.499
20250203,3.499
20250204,3.499
20250205,3.499
20250206,3.499
20250207,3.499
20250208,3.499
20250209,3.499
20250210,3.499
20250211,3.499
20250212,3.499
20250213,3.499
20250215,3.499
20250216,3.499
20250217,3.539
20250218,3.539
20250219,3.539
20250220,3.539
20250221,3.439
20250222,3.339
20250223,3.339
20250224,3.339
20250225,3.339
